Dataset,Algorithm,Nodes,Vehicles,Capacity,Time_s,TimeLimit,HitTimeLimit,Status,Cost,Routes
E-n51-k5.vrp,HYBRID_GA_ILP_CANDIDATE,50,5,160,240.05,120,True,Optimal,556.0,"[[1, 10, 50, 11, 40, 31, 35, 51, 22, 30, 3, 33, 1], [1, 13, 38, 16, 34, 46, 45, 18, 5, 19, 1], [1, 28, 49, 9, 29, 32, 27, 8, 24, 44, 25, 7, 1], [1, 47, 6, 39, 12, 17, 21, 36, 37, 4, 23, 2, 1], [1, 48, 43, 41, 20, 42, 14, 26, 15, 1]]"
E-n51-k5.vrp,ILP_CBC_BASIC,50,5,160,116.56,120,False,Optimal,1330.0,"[[1, 9, 35, 31, 14, 18, 37, 36, 38, 45, 43, 1], [1, 17, 3, 4, 21, 15, 8, 24, 7, 1], [1, 25, 6, 12, 39, 34, 46, 16, 2, 23, 29, 32, 1], [1, 28, 33, 19, 5, 48, 13, 30, 22, 20, 1], [1, 41, 49, 42, 27, 26, 51, 10, 50, 11, 44, 40, 47, 1]]"
E-n51-k5.vrp,ILP_CBC_OPT,50,5,160,120.1,120,True,Not Solved,,[]
E-n51-k5.vrp,ILP_CBC_WARM,50,5,160,120.16,120,True,Optimal,728.0,"[[1, 3, 23, 8, 24, 25, 44, 35, 31, 40, 1], [1, 7, 49, 9, 27, 32, 29, 4, 21, 36, 37, 1], [1, 19, 15, 26, 14, 41, 46, 34, 1], [1, 28, 2, 33, 12, 39, 6, 50, 10, 51, 17, 30, 22, 1], [1, 47, 13, 48, 5, 18, 38, 16, 45, 43, 20, 42, 11, 1]]"
E-n51-k5.vrp,GA_CVRP,50,5,160,120.06,120,True,Time Limit,556,"[[1, 47, 6, 39, 12, 17, 21, 36, 37, 4, 23, 2, 1], [1, 10, 50, 11, 40, 31, 35, 51, 22, 30, 3, 33, 1], [1, 13, 38, 16, 34, 46, 45, 18, 5, 19, 1], [1, 28, 49, 9, 29, 32, 27, 8, 24, 44, 25, 7, 1], [1, 48, 43, 41, 20, 42, 14, 26, 15, 1]]"
E-n51-k5.vrp,HYBRID_GA_ILP,50,5,160,120.15,100,True,Optimal,870.0,"[[1, 13, 35, 2, 51, 42, 20, 41, 43, 45, 1], [1, 18, 17, 36, 3, 37, 4, 29, 32, 27, 9, 49, 1], [1, 28, 8, 44, 25, 15, 26, 14, 24, 7, 1], [1, 40, 34, 50, 16, 46, 38, 6, 39, 12, 33, 23, 1], [1, 48, 19, 5, 22, 30, 21, 31, 10, 11, 47, 1]]"
E-n51-k5.vrp,HYBRID_GA_ILP,50,5,160,120.12,30,True,Optimal,781.0,"[[1, 4, 37, 21, 36, 29, 32, 27, 23, 11, 50, 7, 28, 1], [1, 6, 48, 14, 41, 20, 43, 42, 9, 2, 1], [1, 12, 33, 3, 30, 22, 10, 31, 40, 35, 51, 1], [1, 17, 39, 16, 34, 46, 45, 18, 38, 5, 19, 47, 1], [1, 26, 15, 25, 44, 24, 49, 8, 13, 1]]"
E-n51-k5.vrp,HYBRID_GA_ILP_CANDIDATE,50,5,160,120.1,30,True,Optimal,781.0,"[[1, 4, 37, 21, 36, 29, 32, 27, 23, 11, 50, 7, 28, 1], [1, 6, 48, 14, 41, 20, 43, 42, 9, 2, 1], [1, 12, 33, 3, 30, 22, 10, 31, 40, 35, 51, 1], [1, 17, 39, 16, 34, 46, 45, 18, 38, 5, 19, 47, 1], [1, 26, 15, 25, 44, 24, 49, 8, 13, 1]]"
E-n51-k5.vrp,ILP_CBC_BASIC,50,5,160,296.41,300,False,Optimal,1330.0,"[[1, 9, 35, 31, 14, 18, 37, 36, 38, 45, 43, 1], [1, 17, 3, 4, 21, 15, 8, 24, 7, 1], [1, 25, 6, 12, 39, 34, 46, 16, 2, 23, 29, 32, 1], [1, 28, 33, 19, 5, 48, 13, 30, 22, 20, 1], [1, 41, 49, 42, 27, 26, 51, 10, 50, 11, 44, 40, 47, 1]]"
E-n51-k5.vrp,ILP_CBC_OPT,50,5,160,300.26,300,True,Optimal,1071.0,"[[1, 28, 47, 41, 8, 27, 46, 31, 16, 38, 18, 5, 19, 1], [1, 34, 9, 29, 32, 35, 22, 39, 6, 12, 1], [1, 40, 11, 50, 10, 37, 4, 3, 30, 21, 36, 1], [1, 48, 51, 26, 15, 14, 42, 20, 33, 1], [1, 49, 7, 44, 25, 24, 43, 45, 13, 17, 2, 23, 1]]"
E-n51-k5.vrp,ILP_CBC_WARM,50,5,160,300.2,300,True,Optimal,728.0,"[[1, 3, 23, 8, 24, 25, 44, 35, 31, 40, 1], [1, 7, 49, 9, 27, 32, 29, 4, 21, 36, 37, 1], [1, 19, 15, 26, 14, 41, 46, 34, 1], [1, 28, 2, 33, 12, 39, 6, 50, 10, 51, 17, 30, 22, 1], [1, 47, 13, 48, 5, 18, 38, 16, 45, 43, 20, 42, 11, 1]]"
